dataset,task,n,d_enc,model,track,fold,auc,acc,fit_s,lat_us,size,params
bank-marketing,bin,45211,51,L1-GAM,default,0,0.864213773043428,0.8877977572821976,0.8445744514465332,1.487319988812395,57,{}
bank-marketing,bin,45211,51,L1-GAM,tuned,0,0.8678640793003017,0.890584566385774,1.4636452198028564,1.693039264416981,87,"{""C"": 0.1, ""n_bins"": 32}"
bank-marketing,bin,45211,51,LogReg,default,1,0.9059587239534324,0.9021897810218978,0.1526362895965576,0.0282242033919832,52,{}
bank-marketing,bin,45211,51,LogReg,tuned,1,0.9059587239534324,0.9021897810218978,0.1625182628631591,0.0275597322358939,52,"{""C"": 1}"
bank-marketing,bin,45211,51,DecisionTree,default,1,0.8425786631944657,0.9016589250165892,0.0581588745117187,0.0325274451647519,31,"{""max_depth"": 4}"
bank-marketing,bin,45211,51,DecisionTree,tuned,1,0.8500614720880317,0.9020570670205706,0.1074061393737793,0.031214323594385,25,"{""max_depth"": 8, ""min_samples_leaf"": 20, ""ccp_alpha"": 0.001}"
bank-marketing,bin,45211,51,RandomForest,default,1,0.9305430835088182,0.9068347710683478,1.34405779838562,4.596938023760212,1820934,"{""n_estimators"": 300}"
bank-marketing,bin,45211,51,RandomForest,tuned,1,0.9335833762321538,0.9069674850696748,2.6621286869049072,5.157720038015952,800586,"{""n_estimators"": 400, ""max_features"": 0.3, ""min_samples_leaf"": 5, ""max_depth"": null}"
bank-marketing,bin,45211,51,HistGB,default,1,0.9339453290356224,0.9085600530856004,0.379652738571167,1.6936262316789228,2635,{}
bank-marketing,bin,45211,51,HistGB,tuned,1,0.9344293180960928,0.9092236230922364,0.6115350723266602,1.9832723727666075,5607,"{""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 63, ""l2_regularization"": 0.0, ""min_samples_leaf"": 10}"
bank-marketing,bin,45211,51,XGBoost,default,1,0.9333753221034684,0.9076310550763106,0.3226437568664551,0.7230553630178309,11148,"{""n_estimators"": 300, ""learning_rate"": 0.1, ""max_depth"": 6}"
bank-marketing,bin,45211,51,XGBoost,tuned,1,0.9357303064363236,0.9096217650962176,0.4992587566375732,1.1661152374530834,12891,"{""n_estimators"": 500, ""learning_rate"": 0.03, ""max_depth"": 6, ""subsample"": 1.0, ""colsample_bytree"": 0.7, ""reg_lambda"": 5, ""min_child_weight"": 10}"
bank-marketing,bin,45211,51,EBM,default,1,0.915457645980704,0.9035832780358328,9.366732120513916,0.2532742556627017,2647,{}
bank-marketing,bin,45211,51,EBM,tuned,1,0.9155283613667908,0.9033178500331784,16.298604488372803,0.2894721129277564,1062,"{""max_bins"": 256, ""learning_rate"": 0.005, ""max_rounds"": 2000, ""min_samples_leaf"": 2}"
bank-marketing,bin,45211,51,GA2M,default,1,0.9271960164433094,0.9070338420703384,12.085493564605711,0.3405256467539503,4355,"{""interactions"": 10}"
bank-marketing,bin,45211,51,GA2M,tuned,1,0.92829114585822,0.907564698075647,23.811126232147217,0.4752709047637716,6960,"{""interactions"": 20, ""max_bins"": 128, ""learning_rate"": 0.01}"
bank-marketing,bin,45211,51,RuleFit,default,1,0.906426153081718,0.9009953550099536,10.428600311279297,3.023106449079102,119,"{""max_rules"": 60}"
bank-marketing,bin,45211,51,RuleFit,tuned,1,0.9077640336260824,0.89721300597213,14.831635475158691,5.278764533616884,189,"{""max_rules"": 120, ""tree_size"": 3}"
bank-marketing,bin,45211,51,FIGS,default,1,0.8790997074582482,0.9053085600530856,0.6091957092285156,2.156699344505913,20,"{""max_rules"": 20}"
bank-marketing,bin,45211,51,FIGS,tuned,1,0.8839518741516764,0.9038487060384872,0.6770839691162109,2.5067648985722872,20,"{""max_rules"": 20}"
bank-marketing,bin,45211,51,L1-GAM,default,1,0.8657458378198246,0.8895819508958195,0.7586770057678223,1.4987463340430207,56,{}
bank-marketing,bin,45211,51,L1-GAM,tuned,1,0.8653293885599896,0.8892501658925016,2.20419716835022,1.5056125359892765,72,"{""C"": 1.0, ""n_bins"": 16}"
bank-marketing,bin,45211,51,LogReg,default,2,0.9067267041289132,0.9010617120106172,0.1628930568695068,0.0269110818216163,52,{}
bank-marketing,bin,45211,51,LogReg,tuned,2,0.9066007889688772,0.9009953550099536,0.1626238822937011,0.0275439114940823,52,"{""C"": 100}"
